epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,584.953,1.07469,0.88167,1.15235,0.79427,0.65485,0.75483,0.5225,1.03834,0.80864,1.09457,0.0033313,0.0033313,0.0033313
2,1168.39,1.09561,0.90691,1.1597,0.79002,0.63341,0.73425,0.49879,1.08947,0.86719,1.13172,0.00653267,0.00653267,0.00653267
3,1751.89,1.15879,0.98624,1.19422,0.75679,0.59582,0.69109,0.45387,1.17502,0.97838,1.19043,0.00960204,0.00960204,0.00960204
4,2333.74,1.2237,1.06635,1.23482,0.76886,0.60796,0.70254,0.46551,1.15865,0.94867,1.18149,0.009406,0.009406,0.009406
5,2910.16,1.2219,1.06073,1.23599,0.78378,0.62087,0.72163,0.48322,1.12466,0.8972,1.15413,0.009208,0.009208,0.009208
6,3490.94,1.21402,1.04984,1.23117,0.79097,0.63059,0.7285,0.49145,1.10658,0.87562,1.14565,0.00901,0.00901,0.00901
7,4071.82,1.2051,1.04272,1.22715,0.7844,0.63859,0.73441,0.49783,1.0899,0.85751,1.13384,0.008812,0.008812,0.008812
8,4651.92,1.20214,1.03455,1.22276,0.78603,0.64531,0.74195,0.50657,1.07785,0.8429,1.12512,0.008614,0.008614,0.008614
9,5232.54,1.19504,1.03013,1.22023,0.79053,0.64595,0.74379,0.50851,1.07556,0.83353,1.12516,0.008416,0.008416,0.008416
10,5813.55,1.18923,1.02256,1.21756,0.79592,0.64676,0.74729,0.51107,1.06775,0.82538,1.12077,0.008218,0.008218,0.008218
11,6394.42,1.1876,1.01827,1.21543,0.79254,0.65122,0.74921,0.51335,1.0643,0.82068,1.11898,0.00802,0.00802,0.00802
12,6975.13,1.18202,1.01233,1.21096,0.79263,0.65122,0.74968,0.51426,1.06256,0.81721,1.11812,0.007822,0.007822,0.007822
13,7556.68,1.17812,1.00743,1.20782,0.79479,0.6514,0.74992,0.51492,1.06091,0.8163,1.11679,0.007624,0.007624,0.007624
14,8138.86,1.17408,1.0011,1.20696,0.79956,0.64889,0.75104,0.51575,1.05925,0.81472,1.11563,0.007426,0.007426,0.007426
15,8721.62,1.16788,0.99843,1.20348,0.79778,0.65131,0.75127,0.51632,1.05799,0.81336,1.11482,0.007228,0.007228,0.007228
16,9304.29,1.16594,0.99347,1.20355,0.7978,0.65294,0.75204,0.51655,1.05639,0.81093,1.11381,0.00703,0.00703,0.00703
17,9887.14,1.16349,0.98875,1.20046,0.79914,0.65188,0.75253,0.51773,1.05572,0.80901,1.11361,0.006832,0.006832,0.006832
18,10469.9,1.16027,0.98207,1.19855,0.80021,0.65226,0.75298,0.51847,1.05426,0.80707,1.11291,0.006634,0.006634,0.006634
19,11056.1,1.1565,0.98166,1.1972,0.79791,0.65588,0.75422,0.51944,1.05431,0.80472,1.11292,0.006436,0.006436,0.006436
20,11643.8,1.15468,0.97674,1.19245,0.79937,0.65776,0.75501,0.52015,1.05251,0.80202,1.11176,0.006238,0.006238,0.006238
21,12230.4,1.15431,0.97308,1.19293,0.80176,0.65568,0.75524,0.52117,1.05086,0.80014,1.11062,0.00604,0.00604,0.00604
22,12815.9,1.14828,0.96807,1.19054,0.80294,0.65612,0.7564,0.52188,1.0499,0.79791,1.1098,0.005842,0.005842,0.005842
23,13403,1.14498,0.96335,1.18815,0.79972,0.65935,0.75669,0.52267,1.04856,0.79608,1.10871,0.005644,0.005644,0.005644
24,13989.5,1.14127,0.96011,1.18617,0.80022,0.6594,0.75698,0.52287,1.04715,0.79492,1.10731,0.005446,0.005446,0.005446
25,14583.2,1.13946,0.95749,1.184,0.81043,0.65306,0.75753,0.52369,1.0453,0.79402,1.10575,0.005248,0.005248,0.005248
26,15169.9,1.13429,0.95179,1.18071,0.80629,0.65628,0.75809,0.52469,1.04433,0.79225,1.10507,0.00505,0.00505,0.00505
27,15756.8,1.12773,0.9434,1.17854,0.80543,0.65731,0.75879,0.52507,1.04336,0.79079,1.10449,0.004852,0.004852,0.004852
28,16343,1.12744,0.94511,1.17959,0.80626,0.65712,0.75967,0.52555,1.04231,0.78941,1.10416,0.004654,0.004654,0.004654
29,16930.8,1.12391,0.93734,1.17464,0.80962,0.6574,0.76021,0.52644,1.04036,0.78783,1.1021,0.004456,0.004456,0.004456
30,17519.3,1.11929,0.93391,1.1743,0.80511,0.65949,0.76016,0.52716,1.03931,0.78624,1.10124,0.004258,0.004258,0.004258
31,18106.2,1.11878,0.92982,1.17145,0.80654,0.6594,0.76123,0.5277,1.03876,0.78487,1.10049,0.00406,0.00406,0.00406
32,18693,1.114,0.92593,1.17064,0.80921,0.65831,0.76149,0.52803,1.03738,0.78379,1.09921,0.003862,0.003862,0.003862
33,19281.1,1.10928,0.92172,1.16706,0.80862,0.65737,0.7619,0.52917,1.03639,0.78212,1.0985,0.003664,0.003664,0.003664
34,19867.6,1.1036,0.91335,1.16509,0.80994,0.65667,0.76279,0.52966,1.03537,0.78171,1.09755,0.003466,0.003466,0.003466
35,20452.9,1.10314,0.9138,1.16404,0.80828,0.65858,0.76337,0.53008,1.03441,0.78101,1.09654,0.003268,0.003268,0.003268
36,21041.1,1.09942,0.90664,1.16112,0.81027,0.65967,0.76417,0.53105,1.03299,0.77941,1.09543,0.00307,0.00307,0.00307
37,21619.1,1.09181,0.90165,1.15606,0.81362,0.65734,0.76454,0.53152,1.03239,0.77801,1.09452,0.002872,0.002872,0.002872
38,22203.9,1.08813,0.89417,1.1551,0.81313,0.6584,0.7649,0.53222,1.03139,0.7768,1.09359,0.002674,0.002674,0.002674
39,22789.9,1.08478,0.88724,1.15198,0.81143,0.65903,0.76536,0.53291,1.0297,0.77574,1.09225,0.002476,0.002476,0.002476
40,23375.6,1.08097,0.88538,1.14965,0.81298,0.65976,0.76593,0.53337,1.02863,0.77433,1.09168,0.002278,0.002278,0.002278
41,24011.4,1.06005,0.82597,1.12406,0.81337,0.66112,0.76649,0.5341,1.02796,0.77351,1.09054,0.00208,0.00208,0.00208
42,24579.2,1.05077,0.81391,1.1197,0.81126,0.6609,0.76657,0.53465,1.02615,0.77228,1.08946,0.001882,0.001882,0.001882
43,25145.7,1.04462,0.80362,1.11501,0.81137,0.66121,0.76704,0.53551,1.02486,0.77059,1.08878,0.001684,0.001684,0.001684
44,25715.4,1.03655,0.79589,1.11039,0.80961,0.66351,0.76817,0.53617,1.02291,0.7695,1.08735,0.001486,0.001486,0.001486
45,26284.1,1.03053,0.78737,1.10711,0.81521,0.6607,0.76883,0.5374,1.02172,0.7685,1.08655,0.001288,0.001288,0.001288
46,26853.7,1.02157,0.77722,1.10258,0.81383,0.66303,0.76927,0.53745,1.02137,0.76772,1.08614,0.00109,0.00109,0.00109
47,27422.9,1.01556,0.76962,1.09648,0.81564,0.66221,0.76965,0.53846,1.02039,0.76663,1.08499,0.000892,0.000892,0.000892
48,27991.3,1.00724,0.75931,1.09364,0.81483,0.66261,0.76978,0.5389,1.01903,0.76564,1.0838,0.000694,0.000694,0.000694
49,28561,1.00056,0.74929,1.0889,0.81417,0.66439,0.76984,0.53957,1.01787,0.76435,1.08245,0.000496,0.000496,0.000496
50,29126.7,0.99282,0.74188,1.08314,0.81611,0.66412,0.77066,0.53997,1.0176,0.76355,1.08182,0.000298,0.000298,0.000298
